lr=0.000001
1, 1000, 3.742280
1, 2000, 2.677229
1, 3000, 2.549263
1, 4000, 2.406509
1, 5000, 2.229547
1, 6000, 2.184028
1, 7000, 2.137593
1, 8000, 2.055595
1, 9000, 2.041392
1, 10000, 1.972423
1, 11000, 1.883670
1, 12000, 1.852264
2, 1000, 1.838800
2, 2000, 1.794215
2, 3000, 1.781164
2, 4000, 1.767642
2, 5000, 1.717099
2, 6000, 1.689315
2, 7000, 1.674040
2, 8000, 1.678663
2, 9000, 1.627483
2, 10000, 1.580547
2, 11000, 1.599911
2, 12000, 1.558929
3, 1000, 1.569251
3, 2000, 1.555531
3, 3000, 1.549626
3, 4000, 1.529891
3, 5000, 1.546582
3, 6000, 1.501403
3, 7000, 1.512593
3, 8000, 1.500906
3, 9000, 1.505306
3, 10000, 1.497259
3, 11000, 1.500615
3, 12000, 1.444275
4, 1000, 1.465972
4, 2000, 1.430360
4, 3000, 1.413107
4, 4000, 1.436719
4, 5000, 1.424867
4, 6000, 1.398332
4, 7000, 1.411326
4, 8000, 1.407467
4, 9000, 1.396590
4, 10000, 1.386206
4, 11000, 1.356870
4, 12000, 1.382599
5, 1000, 1.335241
5, 2000, 1.352590
5, 3000, 1.343206
5, 4000, 1.317425
5, 5000, 1.336467
5, 6000, 1.295471
5, 7000, 1.349349
5, 8000, 1.313170
5, 9000, 1.314759
5, 10000, 1.313086
5, 11000, 1.314307
5, 12000, 1.307933
lr=0.000010
1, 1000, 2.653981
1, 2000, 2.082132
1, 3000, 1.862924
1, 4000, 1.758760
1, 5000, 1.620213
1, 6000, 1.517484
1, 7000, 1.520463
1, 8000, 1.458512
1, 9000, 1.435693
1, 10000, 1.352693
1, 11000, 1.294964
1, 12000, 1.284527
2, 1000, 1.178400
2, 2000, 1.148206
2, 3000, 1.118167
2, 4000, 1.108310
2, 5000, 1.052466
2, 6000, 1.041936
2, 7000, 1.017108
2, 8000, 1.015910
2, 9000, 0.991392
2, 10000, 0.999469
2, 11000, 0.964194
2, 12000, 0.920276
3, 1000, 0.847185
3, 2000, 0.825972
3, 3000, 0.787060
3, 4000, 0.798269
3, 5000, 0.787093
3, 6000, 0.785726
3, 7000, 0.743048
3, 8000, 0.741287
3, 9000, 0.735559
3, 10000, 0.741005
3, 11000, 0.721328
3, 12000, 0.723637
4, 1000, 0.596615
4, 2000, 0.616781
4, 3000, 0.571891
4, 4000, 0.580619
4, 5000, 0.587768
